"","sample_id","mean","var","I_bar","SI_0","SI_0.1","SI_0.2","SI_0.3","SI_0.4","SI_0.5","SI_0.6","SI_0.7","SI_0.8","SI_0.9","SI_1"
"58","ID 1140 Year 90",3775.8029682352,912041.307492014,3775.8029682352,3775.8029682352,3680.30211444362,3584.80126065205,3489.30040686047,3393.79955306889,3298.29869927732,3202.79784548574,3107.29699169416,3011.79613790259,2916.29528411101,2820.79443031943
"59","ID 1141 Year 90",3771.78763987719,516488.612568987,3771.78763987719,3771.78763987719,3699.92049769322,3628.05335550926,3556.1862133253,3484.31907114134,3412.45192895737,3340.58478677341,3268.71764458945,3196.85050240549,3124.98336022152,3053.11621803756
"60","ID 382 Year 88",3754.738143027,1062188.95845418,3754.738143027,3754.738143027,3651.67559122208,3548.61303941716,3445.55048761224,3342.48793580732,3239.4253840024,3136.36283219748,3033.30028039256,2930.23772858764,2827.17517678272,2724.1126249778
"61","ID 1125 Year 90",3749.6079987513,506009.251225705,3749.6079987513,3749.6079987513,3678.47367150871,3607.33934426611,3536.20501702351,3465.07068978091,3393.93636253831,3322.80203529572,3251.66770805312,3180.53338081052,3109.39905356792,3038.26472632532
"62","ID 1143 Year 90",3740.18927859532,1291037.8879971,3740.18927859532,3740.18927859532,3626.56543039446,3512.9415821936,3399.31773399275,3285.69388579189,3172.07003759104,3058.44618939018,2944.82234118933,2831.19849298847,2717.57464478762,2603.95079658676
"63","ID 371 Year 88",3737.43591280517,1048846.73915996,3737.43591280517,3737.43591280517,3635.02269397284,3532.6094751405,3430.19625630817,3327.78303747583,3225.3698186435,3122.95659981116,3020.54338097883,2918.1301621465,2815.71694331416,2713.30372448183
"64","ID 1110 Year 90",3691.5425166351,3143384.85677128,3691.5425166351,3691.5425166351,3514.24658163457,3336.95064663404,3159.65471163351,2982.35877663298,2805.06284163244,2627.76690663191,2450.47097163138,2273.17503663085,2095.87910163032,1918.58316662979
"65","ID 1070 Year 88",3684.01004510837,1349247.35178377,3684.01004510837,3684.01004510837,3567.85293806004,3451.6958310117,3335.53872396337,3219.38161691504,3103.22450986671,2987.06740281838,2870.91029577004,2754.75318872171,2638.59608167338,2522.43897462505
"66","ID 1080 Year 90",3677.83643884155,368250.803271387,3677.83643884155,3677.83643884155,3617.15276696258,3556.46909508362,3495.78542320465,3435.10175132569,3374.41807944673,3313.73440756776,3253.0507356888,3192.36706380983,3131.68339193087,3070.9997200519
"67","ID 1132 Year 90",3673.97227949005,495915.369207278,3673.97227949005,3673.97227949005,3603.55102068226,3533.12976187448,3462.7085030667,3392.28724425892,3321.86598545113,3251.44472664335,3181.02346783557,3110.60220902778,3040.18095022,2969.75969141222
"68","ID 1045 Year 88",3669.51388586128,739430.748226905,3669.51388586128,3669.51388586128,3583.52372664368,3497.53356742607,3411.54340820847,3325.55324899086,3239.56308977326,3153.57293055565,3067.58277133805,2981.59261212044,2895.60245290284,2809.61229368523
"69","ID 1010 Year 88",3641.71318457618,2190833.70432571,3641.71318457618,3641.71318457618,3493.69853312824,3345.68388168029,3197.66923023234,3049.6545787844,2901.63992733645,2753.6252758885,2605.61062444056,2457.59597299261,2309.58132154466,2161.56667009672
"70","ID 1043 Year 90",3573.36127863095,395472.084362832,3573.36127863095,3573.36127863095,3510.47470738057,3447.5881361302,3384.70156487982,3321.81499362945,3258.92842237908,3196.0418511287,3133.15527987833,3070.26870862796,3007.38213737758,2944.49556612721
"71","ID 1095 Year 90",3554.9042386175,514612.957000894,3554.9042386175,3554.9042386175,3483.16770977752,3411.43118093754,3339.69465209756,3267.95812325759,3196.22159441761,3124.48506557763,3052.74853673765,2981.01200789768,2909.2754790577,2837.53895021772
"72","ID 1009 Year 90",3517.03442040631,155302.176581978,3517.03442040631,3517.03442040631,3477.62602325774,3438.21762610916,3398.80922896059,3359.40083181201,3319.99243466344,3280.58403751486,3241.17564036629,3201.76724321772,3162.35884606914,3122.95044892057
"73","Sainfoin",3511.96868498547,1952823.79495153,3511.96868498547,3511.96868498547,3372.22521304665,3232.48174110783,3092.73826916901,2952.99479723019,2813.25132529138,2673.50785335256,2533.76438141374,2394.02090947492,2254.2774375361,2114.53396559728
"74","ID 1065 Year 90",3494.41014900931,225115.21209331,3494.41014900931,3494.41014900931,3446.96384124008,3399.51753347084,3352.07122570161,3304.62491793237,3257.17861016313,3209.7323023939,3162.28599462466,3114.83968685542,3067.39337908619,3019.94707131695
"75","ID 1096 Year 90",3389.17566865812,1156231.92826287,3389.17566865812,3389.17566865812,3281.64744314208,3174.11921762604,3066.59099211,2959.06276659396,2851.53454107791,2744.00631556187,2636.47809004583,2528.94986452979,2421.42163901375,2313.89341349771
"76","ID 1104 Year 90",3370.23404833874,2097150.48157239,3370.23404833874,3370.23404833874,3225.41863197804,3080.60321561734,2935.78779925663,2790.97238289593,2646.15696653523,2501.34155017452,2356.52613381382,2211.71071745312,2066.89530109241,1922.07988473171
"77","ID 1137 Year 90",3361.10764147948,523445.123385098,3361.10764147948,3361.10764147948,3288.75813399082,3216.40862650217,3144.05911901351,3071.70961152486,2999.3601040362,2927.01059654755,2854.66108905889,2782.31158157023,2709.96207408158,2637.61256659292
"78","ID 1112 Year 90",3333.07900463068,631394.95353309,3333.07900463068,3333.07900463068,3253.61864007494,3174.1582755192,3094.69791096346,3015.23754640772,2935.77718185198,2856.31681729625,2776.85645274051,2697.39608818477,2617.93572362903,2538.47535907329
"79","Kura Clover",2899.96679837428,505822.86703752,2899.96679837428,2899.96679837428,2828.84557319941,2757.72434802453,2686.60312284966,2615.48189767479,2544.36067249991,2473.23944732504,2402.11822215016,2330.99699697529,2259.87577180041,2188.75454662554
"80","HI-GEST 660",2696.31231537309,744477.902016485,2696.31231537309,2696.31231537309,2610.02918248975,2523.7460496064,2437.46291672306,2351.17978383972,2264.89665095637,2178.61351807303,2092.33038518968,2006.04725230634,1919.76411942299,1833.48098653965
